Region,Electrode,Elec_Number,X,Y
A,0,10824,770.0,857.5
A,1,10825,787.5,857.5
A,2,10826,805.0,857.5
A,3,10827,822.5,857.5
A,4,10828,840.0,857.5
A,5,10829,857.5,857.5
A,6,10830,875.0,857.5
A,7,10831,892.5,857.5
A,8,10832,910.0,857.5
A,9,10833,927.5,857.5
A,10,10834,945.0,857.5
A,11,10835,962.5,857.5
A,12,10836,980.0,857.5
A,13,10837,997.5,857.5
A,14,10838,1015.0,857.5
A,15,10839,1032.5,857.5
A,16,10840,1050.0,857.5
A,17,10841,1067.5,857.5
A,18,10842,1085.0,857.5
A,19,10843,1102.5,857.5
A,20,10844,1120.0,857.5
A,21,10845,1137.5,857.5
A,22,10846,1155.0,857.5
A,23,11044,770.0,875.0
A,24,11045,787.5,875.0
A,25,11046,805.0,875.0
A,26,11047,822.5,875.0
A,27,11048,840.0,875.0
A,28,11049,857.5,875.0
A,29,11050,875.0,875.0
A,30,11051,892.5,875.0
A,31,11052,910.0,875.0
A,32,11053,927.5,875.0
A,33,11054,945.0,875.0
A,34,11055,962.5,875.0
A,35,11056,980.0,875.0
A,36,11057,997.5,875.0
A,37,11058,1015.0,875.0
A,38,11059,1032.5,875.0
A,39,11060,1050.0,875.0
A,40,11061,1067.5,875.0
A,41,11062,1085.0,875.0
A,42,11063,1102.5,875.0
A,43,11064,1120.0,875.0
A,44,11065,1137.5,875.0
A,45,11066,1155.0,875.0
A,46,11264,770.0,892.5
A,47,11265,787.5,892.5
A,48,11266,805.0,892.5
A,49,11267,822.5,892.5
A,50,11268,840.0,892.5
A,51,11269,857.5,892.5
A,52,11270,875.0,892.5
A,53,11271,892.5,892.5
A,54,11272,910.0,892.5
A,55,11273,927.5,892.5
A,56,11274,945.0,892.5
A,57,11275,962.5,892.5
A,58,11276,980.0,892.5
A,59,11277,997.5,892.5
A,60,11278,1015.0,892.5
A,61,11279,1032.5,892.5
A,62,11280,1050.0,892.5
A,63,11281,1067.5,892.5
A,64,11282,1085.0,892.5
A,65,11283,1102.5,892.5
A,66,11284,1120.0,892.5
A,67,11285,1137.5,892.5
A,68,11286,1155.0,892.5
A,69,11484,770.0,910.0
A,70,11485,787.5,910.0
A,71,11486,805.0,910.0
A,72,11487,822.5,910.0
A,73,11488,840.0,910.0
A,74,11489,857.5,910.0
A,75,11490,875.0,910.0
A,76,11491,892.5,910.0
A,77,11492,910.0,910.0
A,78,11493,927.5,910.0
A,79,11494,945.0,910.0
A,80,11495,962.5,910.0
A,81,11496,980.0,910.0
A,82,11497,997.5,910.0
A,83,11498,1015.0,910.0
A,84,11499,1032.5,910.0
A,85,11500,1050.0,910.0
A,86,11501,1067.5,910.0
A,87,11502,1085.0,910.0
A,88,11503,1102.5,910.0
A,89,11504,1120.0,910.0
A,90,11505,1137.5,910.0
A,91,11506,1155.0,910.0
A,92,11704,770.0,927.5
A,93,11705,787.5,927.5
A,94,11706,805.0,927.5
A,95,11707,822.5,927.5
A,96,11708,840.0,927.5
A,97,11709,857.5,927.5
A,98,11710,875.0,927.5
A,99,11711,892.5,927.5
A,100,11712,910.0,927.5
A,101,11713,927.5,927.5
A,102,11714,945.0,927.5
A,103,11715,962.5,927.5
A,104,11716,980.0,927.5
A,105,11717,997.5,927.5
A,106,11718,1015.0,927.5
A,107,11719,1032.5,927.5
A,108,11720,1050.0,927.5
A,109,11721,1067.5,927.5
A,110,11722,1085.0,927.5
A,111,11723,1102.5,927.5
A,112,11724,1120.0,927.5
A,113,11725,1137.5,927.5
A,114,11726,1155.0,927.5
A,115,11924,770.0,945.0
A,116,11925,787.5,945.0
A,117,11926,805.0,945.0
A,118,11927,822.5,945.0
A,119,11928,840.0,945.0
A,120,11929,857.5,945.0
A,121,11930,875.0,945.0
A,122,11931,892.5,945.0
A,123,11932,910.0,945.0
A,124,11933,927.5,945.0
A,125,11934,945.0,945.0
A,126,11935,962.5,945.0
A,127,11936,980.0,945.0
A,128,11937,997.5,945.0
